s,SpecialistHourlyCapacity,SpecialistIsFullTime
216,72.25,
217,75.0,
218,143.83,
219,126.24,
220,87.51,
221,120.12,
222,75.0,
223,51.38,
224,286.56,
225,75.0,
226,80.34,
227,152.71,
228,96.13,
229,223.19,
230,106.18,
231,163.46,
232,250.0,
233,88.24,
234,151.75,
235,196.49,
236,209.34,1.0
237,99.82,
238,117.73,
239,82.37,
240,282.35,
241,179.25,
242,270.43,1.0
243,162.2,
244,75.0,
245,101.99,
246,135.39,
247,158.05,
248,63.19,
249,255.67,1.0
250,75.0,
251,289.66,
252,66.57,
253,89.04,
254,110.3,
255,75.0,
256,247.48,1.0
257,75.0,1.0
258,169.31,
259,189.4,
260,75.0,1.0
261,184.96,1.0
262,89.06,
263,226.65,1.0
264,75.0,1.0
265,115.85,
266,246.74,1.0
267,143.49,
268,316.5,
269,75.0,
270,197.42,1.0
271,119.11,
272,95.05,
273,79.04,
274,99.98,
275,56.58,
276,75.0,1.0
277,75.0,
278,140.28,
279,68.2,
280,111.49,
281,87.05,
282,75.0,
283,75.0,
284,61.56,
285,75.0,
286,197.47,1.0
287,268.64,1.0
288,75.0,1.0
289,118.64,
290,782.19,
291,106.36,
292,147.35,
293,75.0,
294,197.02,
295,115.87,
296,260.91,
297,105.09,
298,227.91,
299,242.96,1.0
300,754.16,
301,80.38,
302,202.31,
303,127.62,
304,75.0,
305,75.0,1.0
306,188.44,
307,274.69,
308,247.52,1.0
309,301.37,
310,75.0,
311,75.0,
312,75.0,
313,113.64,
314,82.87,
315,178.76,
316,74.73,
317,232.17,
318,138.93,
319,75.0,
320,105.09,
321,165.25,
322,88.55,
323,79.95,
324,57.45,
325,351.16,1.0
326,75.0,
327,235.71,
328,75.0,
329,168.98,
330,158.96,
331,78.0,
332,75.0,1.0
333,233.96,1.0
334,98.08,
335,166.11,
336,52.44,
337,167.33,
338,211.86,
339,133.98,
340,105.13,
341,127.19,
342,106.08,
343,784.63,
344,97.0,
345,164.19,
346,110.27,
347,469.57,
348,133.71,
349,75.0,
350,145.06,
351,75.0,
352,167.11,
353,198.25,1.0
354,88.45,
355,213.69,1.0
356,196.37,
357,108.6,
358,252.06,1.0
359,140.18,
360,89.79,
361,214.79,
362,75.0,
363,109.6,
364,75.0,
365,66.98,
366,86.92,
367,114.28,
368,114.2,
369,126.45,
370,110.28,
371,75.0,
372,106.56,
373,107.36,
374,75.0,
375,167.42,
376,75.0,
377,75.0,
378,111.78,
379,75.0,
380,226.87,1.0
381,126.01,
382,100.06,
383,75.0,
384,345.2,1.0
385,75.0,
386,266.55,
387,303.21,
388,135.78,
389,160.11,
390,139.22,
391,105.66,
392,98.57,
393,74.88,
394,102.78,
395,58.49,
396,75.02,
397,274.96,
398,187.11,
399,62.88,
400,75.0,1.0
401,149.35,
402,238.25,1.0
403,92.34,
404,88.51,
405,308.82,1.0
406,204.57,1.0
407,211.09,1.0
408,141.06,
409,75.0,
410,66.12,
411,222.85,
412,172.58,
413,178.73,1.0
414,282.17,1.0
415,113.95,
416,156.54,
417,265.14,1.0
418,166.17,
419,75.0,1.0
420,138.56,
421,118.39,
422,65.38,
423,77.04,
424,182.8,
425,231.14,
426,80.74,
427,139.14,
428,100.65,
429,266.11,1.0
430,119.15,
431,94.4,
432,296.9,1.0
433,84.06,
434,94.84,
435,97.54,
436,76.72,
437,138.61,
438,75.0,
439,89.94,
440,93.26,
441,234.93,
442,75.0,
443,169.6,
444,125.24,
445,294.68,1.0
446,132.12,
447,197.62,
448,119.83,
449,105.24,
450,51.38,
451,75.0,
452,78.43,
453,130.53,
454,75.0,1.0
455,132.52,
456,74.76,
457,75.0,
458,56.9,
459,75.0,
460,143.69,
461,223.68,1.0
462,130.91,
463,209.29,
464,128.69,
465,138.36,
466,199.17,1.0
467,217.89,
468,100.01,
469,75.0,1.0
470,93.02,
471,75.0,
472,126.15,
473,75.0,
474,64.95,
475,107.53,
476,73.6,
477,75.0,1.0
478,83.75,
479,75.0,
480,141.89,
481,128.51,
482,234.44,1.0
483,99.98,
484,144.19,
485,195.3,1.0
486,156.51,1.0
487,313.0,
488,225.91,1.0
489,250.0,
490,89.18,
491,179.12,1.0
492,224.73,
493,75.0,
494,199.36,
495,250.0,1.0
496,75.0,1.0
497,66.27,
498,95.3,
499,88.04,
500,71.04,
501,74.69,
502,135.03,
503,218.09,1.0
504,153.08,
505,201.79,1.0
506,395.64,
507,141.32,
508,75.0,1.0
509,159.59,
510,199.37,
511,56.2,
512,288.49,
513,127.95,
514,92.35,
515,55.75,
516,181.57,
517,96.11,
518,75.0,1.0
519,78.17,
520,75.0,
521,85.04,
522,69.99,
523,67.06,
524,107.6,
525,75.0,
526,139.11,
527,92.77,
528,75.0,
529,214.46,1.0
530,128.22,
531,338.8,1.0
532,231.2,
533,75.0,
534,113.53,
535,220.98,1.0
536,216.07,1.0
537,68.75,
538,93.89,
539,162.7,
540,188.02,
541,130.85,
542,79.74,
543,87.29,
544,75.0,
545,75.0,
546,75.0,
547,187.78,
548,80.16,
549,176.37,
550,129.22,
551,100.0,
552,184.1,
553,90.83,
554,140.16,
555,75.0,
556,130.1,
557,125.25,
558,189.96,
559,135.95,
560,75.0,
561,213.16,1.0
562,92.62,
563,204.83,
